市,rq,dl
国网浙江省电力有限公司温州供电公司,20210405,151818810
国网浙江省电力有限公司衢州供电公司,20210405,49970489
国网浙江省电力有限公司金华供电公司,20210405,113857325
国网浙江省电力有限公司宁波供电公司,20210405,204681606
国网浙江省电力有限公司台州供电公司,20210405,93660941
国网浙江省电力有限公司杭州供电公司,20210405,194140722
国网浙江省电力有限公司舟山供电公司,20210406,52282895
国网浙江省电力有限公司湖州供电公司,20210406,88137624
国网浙江省电力有限公司绍兴供电公司,20210406,133484865
国网浙江省电力有限公司嘉兴供电公司,20210406,145362945
国网浙江省电力有限公司丽水供电公司,20210406,36097337
国网浙江省电力有限公司温州供电公司,20210406,164699766
国网浙江省电力有限公司衢州供电公司,20210406,51079497
国网浙江省电力有限公司金华供电公司,20210406,118484367
国网浙江省电力有限公司宁波供电公司,20210406,226172088
国网浙江省电力有限公司台州供电公司,20210406,102095103
国网浙江省电力有限公司杭州供电公司,20210406,204864235
国网浙江省电力有限公司舟山供电公司,20210407,51636462
国网浙江省电力有限公司湖州供电公司,20210407,91340573
国网浙江省电力有限公司绍兴供电公司,20210407,137118947
国网浙江省电力有限公司嘉兴供电公司,20210407,153071981
国网浙江省电力有限公司丽水供电公司,20210407,36981118
国网浙江省电力有限公司温州供电公司,20210407,167091803
国网浙江省电力有限公司衢州供电公司,20210407,52223275
国网浙江省电力有限公司金华供电公司,20210407,121421190
国网浙江省电力有限公司宁波供电公司,20210407,232646767
国网浙江省电力有限公司台州供电公司,20210407,103073553
国网浙江省电力有限公司杭州供电公司,20210407,212710733
国网浙江省电力有限公司舟山供电公司,20210408,30559087
国网浙江省电力有限公司湖州供电公司,20210408,90885362
国网浙江省电力有限公司绍兴供电公司,20210408,138730798
国网浙江省电力有限公司嘉兴供电公司,20210408,154354021
国网浙江省电力有限公司丽水供电公司,20210408,35909992
国网浙江省电力有限公司温州供电公司,20210408,134175303
国网浙江省电力有限公司衢州供电公司,20210408,53306738
国网浙江省电力有限公司金华供电公司,20210408,124800823
国网浙江省电力有限公司宁波供电公司,20210408,236134068
国网浙江省电力有限公司台州供电公司,20210408,106175592
国网浙江省电力有限公司杭州供电公司,20210408,216346930
国网浙江省电力有限公司舟山供电公司,20210409,64156319
国网浙江省电力有限公司湖州供电公司,20210409,89475800
国网浙江省电力有限公司绍兴供电公司,20210409,135868036
国网浙江省电力有限公司嘉兴供电公司,20210409,148978973
国网浙江省电力有限公司丽水供电公司,20210409,36609471
国网浙江省电力有限公司温州供电公司,20210409,133553517
国网浙江省电力有限公司衢州供电公司,20210409,50456611
国网浙江省电力有限公司金华供电公司,20210409,120850789
国网浙江省电力有限公司宁波供电公司,20210409,231308697
国网浙江省电力有限公司台州供电公司,20210409,103650403
国网浙江省电力有限公司杭州供电公司,20210409,210995302
国网浙江省电力有限公司舟山供电公司,20210410,65630446
国网浙江省电力有限公司湖州供电公司,20210410,88888035
国网浙江省电力有限公司绍兴供电公司,20210410,135088830
国网浙江省电力有限公司嘉兴供电公司,20210410,147963577
国网浙江省电力有限公司丽水供电公司,20210410,36364887
国网浙江省电力有限公司温州供电公司,20210410,150726137
国网浙江省电力有限公司衢州供电公司,20210410,49883812
国网浙江省电力有限公司金华供电公司,20210410,119612944
国网浙江省电力有限公司宁波供电公司,20210410,229575633
国网浙江省电力有限公司台州供电公司,20210410,102651681
国网浙江省电力有限公司杭州供电公司,20210410,207502908
国网浙江省电力有限公司舟山供电公司,20210411,64384643
国网浙江省电力有限公司湖州供电公司,20210411,89150241
国网浙江省电力有限公司绍兴供电公司,20210411,135259288
国网浙江省电力有限公司嘉兴供电公司,20210411,148191777
国网浙江省电力有限公司丽水供电公司,20210411,35956903
国网浙江省电力有限公司温州供电公司,20210411,131057578
国网浙江省电力有限公司衢州供电公司,20210411,49710537
国网浙江省电力有限公司金华供电公司,20210411,120353469
国网浙江省电力有限公司宁波供电公司,20210411,221642300
国网浙江省电力有限公司台州供电公司,20210411,100172935
国网浙江省电力有限公司杭州供电公司,20210411,204630698
国网浙江省电力有限公司舟山供电公司,20210412,65063839
国网浙江省电力有限公司湖州供电公司,20210412,90351774
国网浙江省电力有限公司绍兴供电公司,20210412,137906794
国网浙江省电力有限公司嘉兴供电公司,20210412,153843572
国网浙江省电力有限公司丽水供电公司,20210412,36435547
国网浙江省电力有限公司温州供电公司,20210412,133128229
国网浙江省电力有限公司衢州供电公司,20210412,49701128
国网浙江省电力有限公司金华供电公司,20210412,122025762
国网浙江省电力有限公司宁波供电公司,20210412,233549351
国网浙江省电力有限公司台州供电公司,20210412,104753108
国网浙江省电力有限公司杭州供电公司,20210412,212615608
国网浙江省电力有限公司舟山供电公司,20210413,64852832
国网浙江省电力有限公司湖州供电公司,20210413,88792624
国网浙江省电力有限公司绍兴供电公司,20210413,137774687
国网浙江省电力有限公司嘉兴供电公司,20210413,151436321
国网浙江省电力有限公司丽水供电公司,20210413,37047356
国网浙江省电力有限公司温州供电公司,20210413,133743775
国网浙江省电力有限公司衢州供电公司,20210413,50777541
国网浙江省电力有限公司金华供电公司,20210413,123379190
国网浙江省电力有限公司宁波供电公司,20210413,234767997
国网浙江省电力有限公司台州供电公司,20210413,105851300
国网浙江省电力有限公司杭州供电公司,20210413,212289159
国网浙江省电力有限公司舟山供电公司,20210414,64684310
国网浙江省电力有限公司湖州供电公司,20210414,90139112
国网浙江省电力有限公司绍兴供电公司,20210414,140136117
国网浙江省电力有限公司嘉兴供电公司,20210414,154504030
国网浙江省电力有限公司丽水供电公司,20210414,36836433
国网浙江省电力有限公司温州供电公司,20210414,134215303
国网浙江省电力有限公司衢州供电公司,20210414,51446441
国网浙江省电力有限公司金华供电公司,20210414,123588631
国网浙江省电力有限公司宁波供电公司,20210414,236780357
国网浙江省电力有限公司台州供电公司,20210414,106820678
国网浙江省电力有限公司杭州供电公司,20210414,216857096
国网浙江省电力有限公司舟山供电公司,20210415,65780972
国网浙江省电力有限公司湖州供电公司,20210415,89189018
国网浙江省电力有限公司绍兴供电公司,20210415,138035007
国网浙江省电力有限公司嘉兴供电公司,20210415,153150979
国网浙江省电力有限公司丽水供电公司,20210415,36503707
国网浙江省电力有限公司温州供电公司,20210415,133957892
国网浙江省电力有限公司衢州供电公司,20210415,50439595
国网浙江省电力有限公司金华供电公司,20210415,120797063
国网浙江省电力有限公司宁波供电公司,20210415,235364538
国网浙江省电力有限公司台州供电公司,20210415,105105852
国网浙江省电力有限公司杭州供电公司,20210415,213383959
国网浙江省电力有限公司舟山供电公司,20210416,30666484
国网浙江省电力有限公司湖州供电公司,20210416,88559463
国网浙江省电力有限公司绍兴供电公司,20210416,137231275
国网浙江省电力有限公司嘉兴供电公司,20210416,150182340
国网浙江省电力有限公司丽水供电公司,20210416,35810667
国网浙江省电力有限公司温州供电公司,20210416,129080246
国网浙江省电力有限公司衢州供电公司,20210416,50212537
国网浙江省电力有限公司金华供电公司,20210416,118543381
国网浙江省电力有限公司宁波供电公司,20210416,228582984
国网浙江省电力有限公司台州供电公司,20210416,103206887
国网浙江省电力有限公司杭州供电公司,20210416,211382372
国网浙江省电力有限公司舟山供电公司,20210417,30385475
国网浙江省电力有限公司湖州供电公司,20210417,87349072
国网浙江省电力有限公司绍兴供电公司,20210417,135358683
国网浙江省电力有限公司嘉兴供电公司,20210417,147131065
国网浙江省电力有限公司丽水供电公司,20210417,35500553
国网浙江省电力有限公司温州供电公司,20210417,129429105
国网浙江省电力有限公司衢州供电公司,20210417,49852320
国网浙江省电力有限公司金华供电公司,20210417,118878098
国网浙江省电力有限公司宁波供电公司,20210417,222303889
国网浙江省电力有限公司台州供电公司,20210417,102105562
国网浙江省电力有限公司杭州供电公司,20210417,205276051
国网浙江省电力有限公司舟山供电公司,20210418,64353449
国网浙江省电力有限公司湖州供电公司,20210418,83999048
国网浙江省电力有限公司绍兴供电公司,20210418,131102941
国网浙江省电力有限公司嘉兴供电公司,20210418,138381471
国网浙江省电力有限公司丽水供电公司,20210418,35248592
国网浙江省电力有限公司温州供电公司,20210418,122645773
国网浙江省电力有限公司衢州供电公司,20210418,47917497
国网浙江省电力有限公司金华供电公司,20210418,116059967
国网浙江省电力有限公司宁波供电公司,20210418,205198099
国网浙江省电力有限公司台州供电公司,20210418,94460169
国网浙江省电力有限公司杭州供电公司,20210418,196435093
国网浙江省电力有限公司舟山供电公司,20210419,64133091
国网浙江省电力有限公司湖州供电公司,20210419,87335926
国网浙江省电力有限公司绍兴供电公司,20210419,133743439
国网浙江省电力有限公司嘉兴供电公司,20210419,145229696
国网浙江省电力有限公司丽水供电公司,20210419,35890967
国网浙江省电力有限公司温州供电公司,20210419,164890946
国网浙江省电力有限公司衢州供电公司,20210419,48658302
国网浙江省电力有限公司金华供电公司,20210419,117928211
国网浙江省电力有限公司宁波供电公司,20210419,223367468
国网浙江省电力有限公司台州供电公司,20210419,100515800
国网浙江省电力有限公司杭州供电公司,20210419,204345105
国网浙江省电力有限公司舟山供电公司,20210420,63291601
国网浙江省电力有限公司湖州供电公司,20210420,89325151
国网浙江省电力有限公司绍兴供电公司,20210420,134403078
国网浙江省电力有限公司嘉兴供电公司,20210420,149729920
国网浙江省电力有限公司丽水供电公司,20210420,35966942
国网浙江省电力有限公司温州供电公司,20210420,166594241
国网浙江省电力有限公司衢州供电公司,20210420,49119340
国网浙江省电力有限公司金华供电公司,20210420,118949089
国网浙江省电力有限公司宁波供电公司,20210420,229443639
国网浙江省电力有限公司台州供电公司,20210420,101917204
国网浙江省电力有限公司杭州供电公司,20210420,207876863
国网浙江省电力有限公司舟山供电公司,20210421,66150712
国网浙江省电力有限公司湖州供电公司,20210421,89398325
国网浙江省电力有限公司绍兴供电公司,20210421,134825234
国网浙江省电力有限公司嘉兴供电公司,20210421,150033964
国网浙江省电力有限公司丽水供电公司,20210421,36016119
国网浙江省电力有限公司温州供电公司,20210421,166014837
国网浙江省电力有限公司衢州供电公司,20210421,48844352
国网浙江省电力有限公司金华供电公司,20210421,119470686
国网浙江省电力有限公司宁波供电公司,20210421,230714038
国网浙江省电力有限公司台州供电公司,20210421,102420679
国网浙江省电力有限公司杭州供电公司,20210421,209235181
国网浙江省电力有限公司舟山供电公司,20210422,62310600
国网浙江省电力有限公司湖州供电公司,20210422,90504707
国网浙江省电力有限公司绍兴供电公司,20210422,135628181
国网浙江省电力有限公司嘉兴供电公司,20210422,153133645
国网浙江省电力有限公司丽水供电公司,20210422,35499795
国网浙江省电力有限公司温州供电公司,20210422,162799434
国网浙江省电力有限公司衢州供电公司,20210422,50856468
国网浙江省电力有限公司金华供电公司,20210422,120648987
国网浙江省电力有限公司宁波供电公司,20210422,233582136
国网浙江省电力有限公司台州供电公司,20210422,104368762
国网浙江省电力有限公司杭州供电公司,20210422,210813241
国网浙江省电力有限公司舟山供电公司,20210423,62482530
国网浙江省电力有限公司湖州供电公司,20210423,91165315
国网浙江省电力有限公司绍兴供电公司,20210423,137371533
国网浙江省电力有限公司嘉兴供电公司,20210423,154791282
国网浙江省电力有限公司丽水供电公司,20210423,35992419
国网浙江省电力有限公司温州供电公司,20210423,166793206
国网浙江省电力有限公司衢州供电公司,20210423,50651957
国网浙江省电力有限公司金华供电公司,20210423,121798832
国网浙江省电力有限公司宁波供电公司,20210423,235544753
国网浙江省电力有限公司台州供电公司,20210423,104045977
国网浙江省电力有限公司杭州供电公司,20210423,212390424
国网浙江省电力有限公司舟山供电公司,20210424,61786050
国网浙江省电力有限公司湖州供电公司,20210424,89058673
国网浙江省电力有限公司绍兴供电公司,20210424,137651954
国网浙江省电力有限公司嘉兴供电公司,20210424,153491335
国网浙江省电力有限公司丽水供电公司,20210424,35928169
国网浙江省电力有限公司温州供电公司,20210424,164205725
国网浙江省电力有限公司衢州供电公司,20210424,50004828
国网浙江省电力有限公司金华供电公司,20210424,120496450
国网浙江省电力有限公司宁波供电公司,20210424,230810994
国网浙江省电力有限公司台州供电公司,20210424,103309179
国网浙江省电力有限公司杭州供电公司,20210424,207902717
国网浙江省电力有限公司舟山供电公司,20210425,59896998
国网浙江省电力有限公司湖州供电公司,20210425,88559242
国网浙江省电力有限公司绍兴供电公司,20210425,134483233
国网浙江省电力有限公司嘉兴供电公司,20210425,146969870
国网浙江省电力有限公司丽水供电公司,20210425,35597031
国网浙江省电力有限公司温州供电公司,20210425,158344481
国网浙江省电力有限公司衢州供电公司,20210425,49840019
国网浙江省电力有限公司金华供电公司,20210425,119181164
国网浙江省电力有限公司宁波供电公司,20210425,222087564
国网浙江省电力有限公司台州供电公司,20210425,98614496
国网浙江省电力有限公司杭州供电公司,20210425,205334542
国网浙江省电力有限公司舟山供电公司,20210426,63005116
国网浙江省电力有限公司湖州供电公司,20210426,88360799
国网浙江省电力有限公司绍兴供电公司,20210426,133754684
国网浙江省电力有限公司嘉兴供电公司,20210426,148286996
国网浙江省电力有限公司丽水供电公司,20210426,34052586
国网浙江省电力有限公司温州供电公司,20210426,161651529
国网浙江省电力有限公司衢州供电公司,20210426,50480004
国网浙江省电力有限公司金华供电公司,20210426,120122094
国网浙江省电力有限公司宁波供电公司,20210426,225961990
国网浙江省电力有限公司台州供电公司,20210426,101292253
国网浙江省电力有限公司杭州供电公司,20210426,208404677
国网浙江省电力有限公司舟山供电公司,20210427,61961790
国网浙江省电力有限公司湖州供电公司,20210427,90911251
国网浙江省电力有限公司绍兴供电公司,20210427,137237388
国网浙江省电力有限公司嘉兴供电公司,20210427,155912165
国网浙江省电力有限公司丽水供电公司,20210427,36461341
国网浙江省电力有限公司温州供电公司,20210427,163712557
国网浙江省电力有限公司衢州供电公司,20210427,50894495
国网浙江省电力有限公司金华供电公司,20210427,122424823
国网浙江省电力有限公司宁波供电公司,20210427,232924203
国网浙江省电力有限公司台州供电公司,20210427,104361366
国网浙江省电力有限公司杭州供电公司,20210427,211887688
国网浙江省电力有限公司舟山供电公司,20210428,61939705
国网浙江省电力有限公司湖州供电公司,20210428,89497315
国网浙江省电力有限公司绍兴供电公司,20210428,136578249
国网浙江省电力有限公司嘉兴供电公司,20210428,151573780
国网浙江省电力有限公司丽水供电公司,20210428,35411857
国网浙江省电力有限公司温州供电公司,20210428,164321018
国网浙江省电力有限公司衢州供电公司,20210428,51808739
国网浙江省电力有限公司金华供电公司,20210428,122705686
国网浙江省电力有限公司宁波供电公司,20210428,231481636
国网浙江省电力有限公司台州供电公司,20210428,104445597
国网浙江省电力有限公司杭州供电公司,20210428,210930264
国网浙江省电力有限公司舟山供电公司,20210429,60326493
国网浙江省电力有限公司湖州供电公司,20210429,87713307
国网浙江省电力有限公司绍兴供电公司,20210429,133387090
国网浙江省电力有限公司嘉兴供电公司,20210429,146938033
国网浙江省电力有限公司丽水供电公司,20210429,36138823
国网浙江省电力有限公司温州供电公司,20210429,160567916
国网浙江省电力有限公司衢州供电公司,20210429,50292405
国网浙江省电力有限公司金华供电公司,20210429,119605807
国网浙江省电力有限公司宁波供电公司,20210429,226809697
国网浙江省电力有限公司台州供电公司,20210429,102363551
国网浙江省电力有限公司杭州供电公司,20210429,208397645
国网浙江省电力有限公司舟山供电公司,20210430,51993393
国网浙江省电力有限公司湖州供电公司,20210430,84137292
国网浙江省电力有限公司绍兴供电公司,20210430,130693960
国网浙江省电力有限公司嘉兴供电公司,20210430,140707826
国网浙江省电力有限公司丽水供电公司,20210430,35492649
国网浙江省电力有限公司温州供电公司,20210430,145028431
国网浙江省电力有限公司衢州供电公司,20210430,49315156
国网浙江省电力有限公司金华供电公司,20210430,113647747
国网浙江省电力有限公司宁波供电公司,20210430,218252290
国网浙江省电力有限公司台州供电公司,20210430,96033403
国网浙江省电力有限公司杭州供电公司,20210430,205421721
国网浙江省电力有限公司舟山供电公司,20210501,42865890
国网浙江省电力有限公司湖州供电公司,20210501,62965603
国网浙江省电力有限公司绍兴供电公司,20210501,102448024
国网浙江省电力有限公司嘉兴供电公司,20210501,105062469
国网浙江省电力有限公司丽水供电公司,20210501,27682717
国网浙江省电力有限公司温州供电公司,20210501,86933128
国网浙江省电力有限公司衢州供电公司,20210501,43080556
国网浙江省电力有限公司金华供电公司,20210501,76141495
国网浙江省电力有限公司宁波供电公司,20210501,143867397
国网浙江省电力有限公司台州供电公司,20210501,59216125
国网浙江省电力有限公司杭州供电公司,20210501,167809923
国网浙江省电力有限公司舟山供电公司,20210502,44796442
国网浙江省电力有限公司湖州供电公司,20210502,66262071
国网浙江省电力有限公司绍兴供电公司,20210502,106838867
国网浙江省电力有限公司嘉兴供电公司,20210502,108283144
国网浙江省电力有限公司丽水供电公司,20210502,28564177
国网浙江省电力有限公司温州供电公司,20210502,98402170
国网浙江省电力有限公司衢州供电公司,20210502,43022945
国网浙江省电力有限公司金华供电公司,20210502,86523938
国网浙江省电力有限公司宁波供电公司,20210502,152959998
国网浙江省电力有限公司台州供电公司,20210502,67942866
国网浙江省电力有限公司杭州供电公司,20210502,167490038
国网浙江省电力有限公司舟山供电公司,20210503,50560109
国网浙江省电力有限公司湖州供电公司,20210503,76819394
国网浙江省电力有限公司绍兴供电公司,20210503,122378698
国网浙江省电力有限公司嘉兴供电公司,20210503,126360957
国网浙江省电力有限公司丽水供电公司,20210503,33147777
国网浙江省电力有限公司温州供电公司,20210503,132918294
国网浙江省电力有限公司衢州供电公司,20210503,46303513
国网浙江省电力有限公司金华供电公司,20210503,106446449
国网浙江省电力有限公司宁波供电公司,20210503,192800376
国网浙江省电力有限公司台州供电公司,20210503,91202564
国网浙江省电力有限公司杭州供电公司,20210503,184621410
国网浙江省电力有限公司舟山供电公司,20210504,55585295
国网浙江省电力有限公司湖州供电公司,20210504,85107351
国网浙江省电力有限公司绍兴供电公司,20210504,132570113
国网浙江省电力有限公司嘉兴供电公司,20210504,142399543
国网浙江省电力有限公司丽水供电公司,20210504,35798596
国网浙江省电力有限公司温州供电公司,20210504,149026454
国网浙江省电力有限公司衢州供电公司,20210504,49634025
国网浙江省电力有限公司金华供电公司,20210504,117308243
国网浙江省电力有限公司宁波供电公司,20210504,220069347
国网浙江省电力有限公司台州供电公司,20210504,99744414
国网浙江省电力有限公司杭州供电公司,20210504,197172231
国网浙江省电力有限公司舟山供电公司,20210505,51813772
国网浙江省电力有限公司湖州供电公司,20210505,85434296
国网浙江省电力有限公司绍兴供电公司,20210505,132181159
国网浙江省电力有限公司嘉兴供电公司,20210505,141995854
国网浙江省电力有限公司丽水供电公司,20210505,35822691
国网浙江省电力有限公司温州供电公司,20210505,149914360
国网浙江省电力有限公司衢州供电公司,20210505,48821736
国网浙江省电力有限公司金华供电公司,20210505,117159448
国网浙江省电力有限公司宁波供电公司,20210505,221959287
国网浙江省电力有限公司台州供电公司,20210505,100031928
国网浙江省电力有限公司杭州供电公司,20210505,198890745
国网浙江省电力有限公司舟山供电公司,20210506,50908067
国网浙江省电力有限公司湖州供电公司,20210506,87894712
国网浙江省电力有限公司绍兴供电公司,20210506,134334018
国网浙江省电力有限公司嘉兴供电公司,20210506,145872998
国网浙江省电力有限公司丽水供电公司,20210506,36683735
国网浙江省电力有限公司温州供电公司,20210506,150961540
国网浙江省电力有限公司衢州供电公司,20210506,49054655
国网浙江省电力有限公司金华供电公司,20210506,119622135
国网浙江省电力有限公司宁波供电公司,20210506,226963484
国网浙江省电力有限公司台州供电公司,20210506,101152057
国网浙江省电力有限公司杭州供电公司,20210506,208095764
国网浙江省电力有限公司舟山供电公司,20210507,52118868
国网浙江省电力有限公司湖州供电公司,20210507,88267317
国网浙江省电力有限公司绍兴供电公司,20210507,135333469
国网浙江省电力有限公司嘉兴供电公司,20210507,147465738
国网浙江省电力有限公司丽水供电公司,20210507,37123021
国网浙江省电力有限公司温州供电公司,20210507,151250080
国网浙江省电力有限公司衢州供电公司,20210507,49396519
国网浙江省电力有限公司金华供电公司,20210507,122288278
国网浙江省电力有限公司宁波供电公司,20210507,232616207
国网浙江省电力有限公司台州供电公司,20210507,103475056
国网浙江省电力有限公司杭州供电公司,20210507,217616977
国网浙江省电力有限公司舟山供电公司,20210508,52058926
国网浙江省电力有限公司湖州供电公司,20210508,89520044
国网浙江省电力有限公司绍兴供电公司,20210508,138098584
国网浙江省电力有限公司嘉兴供电公司,20210508,152424082
国网浙江省电力有限公司丽水供电公司,20210508,36654546
国网浙江省电力有限公司温州供电公司,20210508,132076340
国网浙江省电力有限公司衢州供电公司,20210508,50576627
国网浙江省电力有限公司金华供电公司,20210508,124803674
国网浙江省电力有限公司宁波供电公司,20210508,236753814
国网浙江省电力有限公司台州供电公司,20210508,103915893
国网浙江省电力有限公司杭州供电公司,20210508,223160249
国网浙江省电力有限公司舟山供电公司,20210509,52143346
国网浙江省电力有限公司湖州供电公司,20210509,87300375
国网浙江省电力有限公司绍兴供电公司,20210509,136396548
国网浙江省电力有限公司嘉兴供电公司,20210509,145939307
国网浙江省电力有限公司丽水供电公司,20210509,36182946
国网浙江省电力有限公司温州供电公司,20210509,147954294
国网浙江省电力有限公司衢州供电公司,20210509,49601926
国网浙江省电力有限公司金华供电公司,20210509,122459571
国网浙江省电力有限公司宁波供电公司,20210509,226252175
国网浙江省电力有限公司台州供电公司,20210509,99265369
国网浙江省电力有限公司杭州供电公司,20210509,220493624
国网浙江省电力有限公司舟山供电公司,20210510,61155804
国网浙江省电力有限公司湖州供电公司,20210510,93100556
国网浙江省电力有限公司绍兴供电公司,20210510,149718207
国网浙江省电力有限公司嘉兴供电公司,20210510,155183784
国网浙江省电力有限公司丽水供电公司,20210510,36980562
国网浙江省电力有限公司温州供电公司,20210510,157040523
国网浙江省电力有限公司衢州供电公司,20210510,51159197
国网浙江省电力有限公司金华供电公司,20210510,127948103
国网浙江省电力有限公司宁波供电公司,20210510,243970089
国网浙江省电力有限公司台州供电公司,20210510,111835311
国网浙江省电力有限公司杭州供电公司,20210510,244737181
国网浙江省电力有限公司舟山供电公司,20210511,56923659
国网浙江省电力有限公司湖州供电公司,20210511,93997304
国网浙江省电力有限公司绍兴供电公司,20210511,140545111
国网浙江省电力有限公司嘉兴供电公司,20210511,181997531
国网浙江省电力有限公司丽水供电公司,20210511,37119186
国网浙江省电力有限公司温州供电公司,20210511,159886385
国网浙江省电力有限公司衢州供电公司,20210511,50702463
国网浙江省电力有限公司金华供电公司,20210511,123635690
国网浙江省电力有限公司宁波供电公司,20210511,243457744
国网浙江省电力有限公司台州供电公司,20210511,105987438
国网浙江省电力有限公司杭州供电公司,20210511,233781692
国网浙江省电力有限公司舟山供电公司,20210512,62369579
国网浙江省电力有限公司湖州供电公司,20210512,93113549
国网浙江省电力有限公司绍兴供电公司,20210512,141428418
国网浙江省电力有限公司嘉兴供电公司,20210512,160877248
国网浙江省电力有限公司丽水供电公司,20210512,37571564
国网浙江省电力有限公司温州供电公司,20210512,160294127
国网浙江省电力有限公司衢州供电公司,20210512,51421562
国网浙江省电力有限公司金华供电公司,20210512,126461998
国网浙江省电力有限公司宁波供电公司,20210512,241776334
国网浙江省电力有限公司台州供电公司,20210512,107033958
国网浙江省电力有限公司杭州供电公司,20210512,231920530
国网浙江省电力有限公司舟山供电公司,20210513,72248318
国网浙江省电力有限公司湖州供电公司,20210513,91753994
国网浙江省电力有限公司绍兴供电公司,20210513,141115968
国网浙江省电力有限公司嘉兴供电公司,20210513,158052699
国网浙江省电力有限公司丽水供电公司,20210513,37711330
国网浙江省电力有限公司温州供电公司,20210513,163474741
国网浙江省电力有限公司衢州供电公司,20210513,51101947
国网浙江省电力有限公司金华供电公司,20210513,126710814
国网浙江省电力有限公司宁波供电公司,20210513,241527776
国网浙江省电力有限公司台州供电公司,20210513,107128320
国网浙江省电力有限公司杭州供电公司,20210513,225986369
国网浙江省电力有限公司舟山供电公司,20210514,67959989
国网浙江省电力有限公司湖州供电公司,20210514,92791322
国网浙江省电力有限公司绍兴供电公司,20210514,143985824
国网浙江省电力有限公司嘉兴供电公司,20210514,159770534
国网浙江省电力有限公司丽水供电公司,20210514,38940685
国网浙江省电力有限公司温州供电公司,20210514,145421954
国网浙江省电力有限公司衢州供电公司,20210514,52081744
国网浙江省电力有限公司金华供电公司,20210514,131304419
国网浙江省电力有限公司宁波供电公司,20210514,250507997
国网浙江省电力有限公司台州供电公司,20210514,110520334
国网浙江省电力有限公司杭州供电公司,20210514,240897401
国网浙江省电力有限公司舟山供电公司,20210515,54931461
国网浙江省电力有限公司湖州供电公司,20210515,94452203
国网浙江省电力有限公司绍兴供电公司,20210515,145478647
国网浙江省电力有限公司嘉兴供电公司,20210515,162597068
国网浙江省电力有限公司丽水供电公司,20210515,39129369
国网浙江省电力有限公司温州供电公司,20210515,168686996
国网浙江省电力有限公司衢州供电公司,20210515,53047833
国网浙江省电力有限公司金华供电公司,20210515,136728724
国网浙江省电力有限公司宁波供电公司,20210515,256206881
国网浙江省电力有限公司台州供电公司,20210515,111574775
国网浙江省电力有限公司杭州供电公司,20210515,248667636
国网浙江省电力有限公司舟山供电公司,20210516,75445305
国网浙江省电力有限公司湖州供电公司,20210516,86809968
国网浙江省电力有限公司绍兴供电公司,20210516,140699082
国网浙江省电力有限公司嘉兴供电公司,20210516,150265374
